idVotacao;uriVotacao;dataHoraVoto;voto;deputado_id;deputado_uri;deputado_nome;deputado_siglaPartido;deputado_uriPartido;deputado_siglaUf;deputado_idLegislatura;deputado_urlFoto
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:31;Sim;74317;https://dadosabertos.camara.leg.br/api/v2/deputados/74317;Júlio Cesar;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;PI;57;https://www.camara.leg.br/internet/deputado/bandep/74317.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:03;Sim;204372;https://dadosabertos.camara.leg.br/api/v2/deputados/204372;Julio Cesar Ribeiro;REPUBLICANOS;https://dadosabertos.camara.leg.br/api/v2/partidos/37908;DF;57;https://www.camara.leg.br/internet/deputado/bandep/204372.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:30:10;Sim;204457;https://dadosabertos.camara.leg.br/api/v2/deputados/204457;Juninho do Pneu;UNIÃO;https://dadosabertos.camara.leg.br/api/v2/partidos/38009;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/204457.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:37:11;Não;204520;https://dadosabertos.camara.leg.br/api/v2/deputados/204520;Junio Amaral;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;MG;57;https://www.camara.leg.br/internet/deputado/bandep/204520.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:10;Sim;204497;https://dadosabertos.camara.leg.br/api/v2/deputados/204497;Júnior Ferrari;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;PA;57;https://www.camara.leg.br/internet/deputado/bandep/204497.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:34:10;Sim;204550;https://dadosabertos.camara.leg.br/api/v2/deputados/204550;Júnior Mano;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;CE;57;https://www.camara.leg.br/internet/deputado/bandep/204550.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:57;Sim;220677;https://dadosabertos.camara.leg.br/api/v2/deputados/220677;Keniston Braga;MDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36899;PA;57;https://www.camara.leg.br/internet/deputado/bandep/220677.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:33:16;Sim;162067;https://dadosabertos.camara.leg.br/api/v2/deputados/162067;Kiko Celeguim;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SP;57;https://www.camara.leg.br/internet/deputado/bandep/162067.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:13;Sim;98057;https://dadosabertos.camara.leg.br/api/v2/deputados/98057;Lafayette de Andrada;REPUBLICANOS;https://dadosabertos.camara.leg.br/api/v2/partidos/37908;MG;57;https://www.camara.leg.br/internet/deputado/bandep/98057.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:32:31;Sim;74856;https://dadosabertos.camara.leg.br/api/v2/deputados/74856;Laura Carneiro;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/74856.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:32:19;Sim;141480;https://dadosabertos.camara.leg.br/api/v2/deputados/141480;Lázaro Botelho;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;TO;57;https://www.camara.leg.br/internet/deputado/bandep/141480.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:18;Sim;220600;https://dadosabertos.camara.leg.br/api/v2/deputados/220600;Lebrão;UNIÃO;https://dadosabertos.camara.leg.br/api/v2/partidos/38009;RO;57;https://www.camara.leg.br/internet/deputado/bandep/220600.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:38:38;Sim;220566;https://dadosabertos.camara.leg.br/api/v2/deputados/220566;Lêda Borges;PSDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36835;GO;57;https://www.camara.leg.br/internet/deputado/bandep/220566.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:33:40;Sim;80815;https://dadosabertos.camara.leg.br/api/v2/deputados/80815;Leo Prates;PDT;https://dadosabertos.camara.leg.br/api/v2/partidos/36786;BA;57;https://www.camara.leg.br/internet/deputado/bandep/80815.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:33:41;Sim;74156;https://dadosabertos.camara.leg.br/api/v2/deputados/74156;Leonardo Monteiro;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;MG;57;https://www.camara.leg.br/internet/deputado/bandep/74156.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:34:00;Sim;74299;https://dadosabertos.camara.leg.br/api/v2/deputados/74299;Leônidas Cristino;PDT;https://dadosabertos.camara.leg.br/api/v2/partidos/36786;CE;57;https://www.camara.leg.br/internet/deputado/bandep/74299.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:32:31;Sim;92102;https://dadosabertos.camara.leg.br/api/v2/deputados/92102;Leur Lomanto Júnior;UNIÃO;https://dadosabertos.camara.leg.br/api/v2/partidos/38009;BA;57;https://www.camara.leg.br/internet/deputado/bandep/92102.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:39;Sim;139285;https://dadosabertos.camara.leg.br/api/v2/deputados/139285;Lídice da Mata;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;BA;57;https://www.camara.leg.br/internet/deputado/bandep/139285.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:40;Abstenção;74585;https://dadosabertos.camara.leg.br/api/v2/deputados/74585;Lincoln Portela;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;MG;57;https://www.camara.leg.br/internet/deputado/bandep/74585.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:37:33;Sim;74858;https://dadosabertos.camara.leg.br/api/v2/deputados/74858;Lindbergh Farias;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/74858.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:43;Sim;220662;https://dadosabertos.camara.leg.br/api/v2/deputados/220662;Lucas Ramos;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;PE;57;https://www.camara.leg.br/internet/deputado/bandep/220662.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:26;Sim;204404;https://dadosabertos.camara.leg.br/api/v2/deputados/204404;Lucas Redecker;PSDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36835;RS;57;https://www.camara.leg.br/internet/deputado/bandep/204404.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:01;Sim;138286;https://dadosabertos.camara.leg.br/api/v2/deputados/138286;Luciano Alves;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;PR;57;https://www.camara.leg.br/internet/deputado/bandep/138286.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:49;Sim;220581;https://dadosabertos.camara.leg.br/api/v2/deputados/220581;Luciano Amaral;PV;https://dadosabertos.camara.leg.br/api/v2/partidos/36851;AL;57;https://www.camara.leg.br/internet/deputado/bandep/220581.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:11;Sim;103758;https://dadosabertos.camara.leg.br/api/v2/deputados/103758;Luciano Azevedo;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;RS;57;https://www.camara.leg.br/internet/deputado/bandep/103758.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:35:34;Sim;178931;https://dadosabertos.camara.leg.br/api/v2/deputados/178931;Luciano Ducci;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;PR;57;https://www.camara.leg.br/internet/deputado/bandep/178931.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:21;Sim;227323;https://dadosabertos.camara.leg.br/api/v2/deputados/227323;Luciano Galego;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;MA;57;https://www.camara.leg.br/internet/deputado/bandep/227323.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:22;Sim;220616;https://dadosabertos.camara.leg.br/api/v2/deputados/220616;Luciano Vieira;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/220616.jpg
